Timestamp,Chess.com Username,Chess.com Live Standard Rating,Chess.com Live Blitz Rating,Chess.com Live Bullet Rating,Chess.com Turn-Based Standard,USCF Regular Rating,USCF Quick Rating,FIDE Regular Rating
1/24/14 11:54,SmarterChess,1805,1997,2001,2174,2173,1995,
1/24/14 14:11,Archerknight,1299,2137,1958,1936,,,
1/24/14 14:12,hellipod,,1650,,,,,1900
1/24/14 14:12,Vas87thRD,1402,1205,1235,1812,,,1400
1/24/14 14:14,f1n1ty,,1438,1262,1651,1327,1113,
1/24/14 14:14,dokter_nee,,1597,1471,1995,,,1813
1/24/14 14:14,archer4364,,830,769,1450,,,
1/24/14 14:14,bielyplafon,,1770,,,,,
1/24/14 14:14,superfly641,,,1900,,,1840,
1/24/14 14:14,Michaeporcelli,1529,1583,1245,1892,1566,1649,
1/24/14 14:15,davewagner2,1058,807,,1398,,,
1/24/14 14:15,Marc-Andre Courtemanche,,1433,1382,1800,1650,,
1/24/14 14:16,caykroyd,782,1138,1037,1186,,,
1/24/14 14:16,gary172000,1436,1199,1344,1436,1304,1011,
1/24/14 14:18,bellwater99,,1051,,,,,
1/24/14 14:19,Mayernik311,1343,1122,759,1672,,,
1/24/14 14:19,TikTakTokTek,1473,1739,1686,1863,,,1987
1/24/14 14:19,kdmrx,1804,1750,1732,,,,
1/24/14 14:19,MentallyYours,,1064,966,1340,,,
1/24/14 14:20,alghul,,1452,1103,1528,1640,,
1/24/14 14:21,chughey,1746,1731,1681,,,,1600
1/24/14 14:22,sleepless98062,1250,1050,,,1203,,
1/24/14 14:22,bonzobeat,1300,,,,,,
1/24/14 14:22,ToTheChest,1133,1383,1100,1422,,,
1/24/14 14:22,spider99,,1601,,2069,,,
1/24/14 14:23,Bardu,1200,,,,1000,,
1/24/14 14:23,Toshikazu,1453,1283,1088,1555,,,
1/24/14 14:23,vistopia,,1470,,1585,,,
1/24/14 14:24,adudam420,1066,1145,806,1291,,,
1/24/14 14:25,francunsolo,1462,1348,1455,1771,,,
1/24/14 14:26,jmvds,1237,,,,,,
1/24/14 14:26,Derhemmes,,1850,1737,1947,,,1873
1/24/14 14:26,smokkie,1594,,,,,,1874
1/24/14 14:27,kaiserj,,,,,,,
1/24/14 14:28,RostinIII,1630,1642,1651,,,,1658
1/24/14 14:28,chessnut72,1590,1640,,1584,1824,1802,
1/24/14 14:28,Nagrookie,1583,1455,1094,1581,,,
1/24/14 14:29,kaiserj,1137,,,,,,
1/24/14 14:29,mfinch,985,,,1309,,,
1/24/14 14:31,an_ani,1517,1400,1316,1725,,,
1/24/14 14:31,mickina,1400,,,,,,
1/24/14 14:31,jmb2010,,,2290,,2254,,
1/24/14 14:31,davidsaville,,1800,1600,2300,2100,2000,
1/24/14 14:32,Yamaduta,1429,1502,,1737,,,
1/24/14 14:32,jimmykay,,1381,1267,1695,1632,1798,
1/24/14 14:33,ethanbas,1600,1900,1800,,2130,1800,2020
1/24/14 14:35,myleslewis,1031,1018,938,1275,,,
1/24/14 14:39,johannes-die-loper,,,,1532,,,
1/24/14 14:41,jimmy-the-hand,1600,1575,1550,1900,,,1800
1/24/14 14:46,souleater001,1850,1772,1693,2276,,,2066
1/24/14 14:49,elkowalski,1697,1756,1496,1906,1600,1600,
1/24/14 14:50,morgande3,1263,1008,801,1324,1197,967,
1/24/14 15:05,seadog181,,1202,1244,1483,1375,,
1/24/14 15:09,bongcloudftw,1700,2004,2002,1703,,,1958
1/24/14 15:17,vasily_pupkin,,,1600,,,,
1/24/14 15:21,kclemens,1536,1561,,,1569,,
1/24/14 16:03,SJFG,1773,1804,1800,2051,1856,,
1/24/14 16:11,qwerty12325,1600,1600,1600,1800,1715,1585,
1/24/14 16:17,jerrylewis,,,,,,,
1/24/14 16:18,erdnis,,830,,1575,,,
1/24/14 16:20,Bab3s,,2092,1913,2263,2120,1972,2017
1/24/14 16:20,Dan2199,1218,1198,1060,1356,1413,1412,
1/24/14 16:33,firehusky,1838,2053,2148,1756,1877,1932,
1/24/14 16:42,mrinterpreter,,,,1460,,,
1/24/14 16:47,Mightymove,,,,,,,
1/24/14 16:50,gorillagoo123,,,,,,,
1/24/14 17:04,1random,,,2009,,2114,,
1/24/14 17:06,aftertaste,1890,1901,2030,2084,,,
1/24/14 17:17,Electrolux_SE,,,,2061,,,1955
1/24/14 17:19,tygertyger,1451,1404,1190,1571,1609,1445,
1/24/14 17:26,fmbueno,,1518,,2161,,,
1/24/14 17:27,utahutah,,,,,,,
1/24/14 17:46,Zimzz99,,1874,1727,1889,,,1606
1/24/14 18:01,Basrohs,1621,1774,1821,,1848,1741,
1/24/14 18:07,noah2358,1507,1409,1373,1593,,,
1/24/14 18:07,ruisequeira,1285,,,1524,,,1460
1/24/14 18:09,O120499,1694,1767,1242,1738,1868,1527,
1/24/14 18:10,kdelaney,,2186,2331,1760,,,2140
1/24/14 18:17,jetfighter13,1250,,,1450,,,
1/24/14 18:21,chessbond001,1564,1272,1079,,,,
1/24/14 18:28,drbrooks3035,1339,,,,,,
1/24/14 18:38,Endgamer1,,,,1520,1502,1295,
1/24/14 18:43,1068bobibu,1509,1079,871,1575,985,,
1/24/14 18:58,Akshay2013,1400,1320,1228,,1327,1368,
1/24/14 19:02,Londonsystem22,,2000,2150,1960,2326,,2170
1/24/14 19:04,Maestro94,1485,1401,1207,1641,,,
1/24/14 19:16,clunney,1680,1580,1450,1400,1889,,
1/24/14 19:30,PsycopatSF,1365,,,1551,,,
1/24/14 20:00,striker301,1483,1765,2018,1599,,,1665
1/24/14 20:09,amitprabhale,1414,981,,1690,,,
1/24/14 20:16,Something_Smart,,1627,,1756,1889,,
1/24/14 20:18,ssehc988,1025,1055,855,1133,696,699,
1/24/14 20:48,1709314,1735,1999,2011,2131,,,1946
1/24/14 20:58,Shibin123,1711,1547,1403,,,,1434
1/24/14 21:13,rodrigobc,,,,,,,
1/24/14 21:13,badukdestroyer,,1480,1335,1594,1394,1354,
1/24/14 21:16,tammerik24,1381,1303,,1426,,,
1/24/14 21:47,Backwardking,1375,1203,,1569,,,
1/24/14 21:48,naidenovgangster,1442,1363,1473,,,,
1/24/14 21:48,penguingm1,,2295,2488,2023,2368,2046,2222
1/24/14 21:57,cephalopod11,,1916,,1908,2095,1833,2065
1/24/14 21:59,Red-Ear-Slider,,,,1464,,,
1/24/14 22:00,CyriacAntonoy,1629,,,,,,1441
1/24/14 22:33,Bigchallah,,835,,1666,,,
1/24/14 23:04,Preachrboy,1571,1563,868,1490,1644,1745,
